Timestep;REC_price_h;REC_price_d;REC_price_m;REC_price_y;Biomass_h;Solar_h;WindOffshore_h;WindOnshore_h;electrolysis_h;Biomass_d;Solar_d;WindOffshore_d;WindOnshore_d;electrolysis_d;Biomass_m;Solar_m;WindOffshore_m;WindOnshore_m;electrolysis_m;Biomass_y;Solar_y;WindOffshore_y;WindOnshore_y;electrolysis_y
11.0;0.0;0.0;0.03110920696221785;1.1882035657246473e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-3.387598696476339e-8;105.81247925162636;107.18344744963927;41.729119396220256;107.18344744963927;-5.618448559796471e-7
12.0;0.0;0.0;0.03110920696221785;1.1882035657246473e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-3.387598696476339e-8;105.81247925162636;107.18344744963927;41.729119396220256;107.18344744963927;-5.618448559796471e-7
13.0;0.0;0.0;0.03110920696221785;1.1882035657246473e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-3.387598696476339e-8;105.81247925162636;107.18344744963927;41.729119396220256;107.18344744963927;-5.618448559796471e-7
14.0;0.0;0.0;0.03110920696221785;1.1882035657246473e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-3.387598696476339e-8;105.81247925162636;107.18344744963927;41.729119396220256;107.18344744963927;-5.618448559796471e-7
15.0;0.0;0.0;0.03110920696221785;1.1882035657246473e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-3.387598696476339e-8;105.81247925162636;107.18344744963927;41.729119396220256;107.18344744963927;-5.618448559796471e-7
16.0;0.0;0.0;0.03110920696221785;1.1882035657246473e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-3.387598696476339e-8;105.81247925162636;107.18344744963927;41.729119396220256;107.18344744963927;-5.618448559796471e-7
17.0;0.0;0.0;0.03110920696221785;1.1882035657246473e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-3.387598696476339e-8;105.81247925162636;107.18344744963927;41.729119396220256;107.18344744963927;-5.618448559796471e-7
18.0;0.0;0.0;0.03110920696221785;1.1882035657246473e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-3.387598696476339e-8;105.81247925162636;107.18344744963927;41.729119396220256;107.18344744963927;-5.618448559796471e-7
19.0;0.0;0.0;0.03110920696221785;1.1882035657246473e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-3.387598696476339e-8;105.81247925162636;107.18344744963927;41.729119396220256;107.18344744963927;-5.618448559796471e-7
20.0;0.0;0.0;0.03110920696221785;1.1882035657246473e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-3.387598696476339e-8;105.81247925162636;107.18344744963927;41.729119396220256;107.18344744963927;-5.618448559796471e-7
